fullSpell,desc,count,countStr,countUnit,price,priceStr,priceUnit,border,bubbleDesc,icon,entityId,entityType,id,name,longitude,latitude,imageType,selected
c3611100126390,0.43万(1套),1,1套,套,4323,0.43万,元,"106.256058,29.278995;106.256602,29.279152;106.257029,29.278408;106.256741,29.278318;106.256476,29.278172;106.25631,29.278487",江岸丽水,,3611100126390,resblock,3611100126390,江岸丽水,106.256552,29.278526,30002,False
c3611100421900,0.39万(1套),1,1套,套,3945,0.39万,元,"106.256633,29.279416;106.257496,29.279695;106.257779,29.279258;106.256907,29.278935",吉祥鑫座,,3611100421900,resblock,3611100421900,吉祥鑫座,106.257159,29.279309,30002,False
c3611100430406,0.28万(1套),1,1套,套,2841,0.28万,元,"106.260303,29.27766;106.259265,29.277365;106.259149,29.277593;106.260164,29.277971",茂园小区,,3611100430406,resblock,3611100430406,茂园小区,106.259651,29.277625,30002,False
c3620027909747326,0.35万(1套),1,1套,套,3453,0.35万,元,"106.261915,29.27627;106.261556,29.276203;106.26143,29.276648;106.26187,29.276802",蜀果花园,,3620027909747326,resblock,3620027909747326,蜀果花园,106.26171,29.276376,30002,False
c3611100113175,0.82万(21套),21,21套,套,8155,0.82万,元,"106.278585,29.279684;106.279681,29.278802;106.278247,29.277494;106.277483,29.277967;106.276621,29.277258;106.276342,29.277494;106.274833,29.276376;106.274923,29.275572;106.272965,29.274785;106.271994,29.274942;106.271689,29.275163;106.273557,29.280077;106.275342,29.278786;106.276097,29.279023;106.27774,29.28033",雍山郡,,3611100113175,resblock,3611100113175,雍山郡,106.27451,29.277116,30002,False
c3611100534301,0.65万(18套),18,18套,套,6455,0.65万,元,"106.281786,29.281192;106.283196,29.282696;106.284625,29.281208;106.282954,29.279947",建宇爱上,,3611100534301,resblock,3611100534301,建宇爱上,106.283161,29.281102,30002,False
c3611099888816,0.97万(12套),12,12套,套,9699,0.97万,元,"106.277461,29.276254;106.278539,29.277262;106.278916,29.276891;106.27914,29.277049;106.280182,29.275891;106.278601,29.274954;106.27755,29.275765",美天公园王府,,3611099888816,resblock,3611099888816,美天公园王府,106.27876226097,29.276205515452,30002,False
c3611100110968,0.54万(12套),12,12套,套,5402,0.54万,元,"106.283502,29.282972;106.284894,29.284295;106.286484,29.282649;106.284804,29.28146",星韵满庭,,3611100110968,resblock,3611100110968,星韵满庭,106.284974231,29.282849650924,30002,False
c3620033161013500,0.73万(6套),6,6套,套,7341,0.73万,元,"106.284791,29.28044;106.284454,29.280586;106.283353,29.279511;106.282945,29.2787;106.283331,29.278704;106.283506,29.279436",幸福佳苑,,3620033161013500,resblock,3620033161013500,幸福佳苑,106.284101,29.280038,30002,False
c3611100114593,0.6万(5套),5,5套,套,5984,0.6万,元,"106.281382,29.276242;106.282262,29.275184;106.279657,29.273828;106.279307,29.27393;106.27892,29.274631;106.279001,29.274962",加洲国际,,3611100114593,resblock,3611100114593,加洲国际,106.281911,29.275511,30002,False
