name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,39457,11328006995,,,,,,,106.1709417,29.7167806,,,
,39458,11327994569,,,,,,,106.1915541,29.7146286,,,
,39459,11331307714,,,,,,,106.1967132,29.7130172,,,
,39460,8828875396,,,,,,,106.1875682,29.5856956,,,
,39461,7242583764,,,,,,,106.1931621,29.5933925,,,
,39462,6898133837,,,,,,,106.1993991,29.5876468,,,
,39463,6898133759,,,,,,,106.1999085,29.5871867,,,
,39464,7242583402,,,,,,,106.1999619,29.5871387,,,
,39465,6898382670,,,,,,,106.3816799,29.7010822,,,
,39466,6898383099,,,,,,,106.4827059,29.6758005,,,
,39467,6898382001,,,,,,,106.4817141,29.6749727,,,
,39468,6898382270,,,,,,,106.4816465,29.6749157,,,
,39469,6898382381,,,,,,,106.4808066,29.6741176,,,
,39470,6898382335,,,,,,,106.5068325,29.6767787,,,
,39471,6898382913,,,,,,,106.5067221,29.67671,,,
,39472,7309192982,,,,,,,106.5052594,29.6757742,,,
,39473,6898381857,,,,,,,106.5024779,29.6757517,,,
,39474,6898382046,,,,,,,106.5011199,29.6768971,,,
,39475,9329399449,,,,,,,106.5000329,29.6785212,,,
,39476,6898382273,,,,,,,106.4989005,29.6803046,,,
,39477,10836206716,,,,,,,106.4983219,29.6811557,,,
,39478,7707030680,,,,,,,106.498009,29.6816159,,,
,39479,7309203177,,,,,,,106.4979488,29.6816974,,,
,39480,6898381864,,,,,,,106.4783048,29.6881544,,,
礼白立交,39481,9326602882,,,,,,,106.4632235,29.67239,,,
,39482,9326602837,,,,,,,106.4648614,29.6716092,,,
,39483,6898382237,,,,,,,106.3934054,29.7475392,,,
,39484,6898381983,,,,,,,106.3912278,29.7472688,,,
,39485,6898382708,,,,,,,106.3841584,29.7465419,,,
,39486,6898383078,,,,,,,106.37271,29.7457244,,,
,39487,6898381855,,,,,,,106.500501,29.6724522,,,
,39488,6898383064,,,,,,,106.385392,29.7427151,,,
,39489,9557083045,,,,,,,106.3863916,29.7444284,,,
狮子岩立交,39490,6898383175,,,,,,,106.3884297,29.7464911,,,
,39491,9753842427,,,,,,,106.3903854,29.7468219,,,
,39492,7309215291,,,,,,,106.5082306,29.6697502,,,
,39493,9772748936,,,,,,,106.4854066,29.655904,,,
,39494,9772748950,,,,,,,106.4859909,29.6563409,,,
,39495,9772748952,,,,,,,106.4861033,29.656425,,,
,39496,6898383115,,,,,,,106.4899959,29.6575036,,,
,39497,7707030801,,,,,,,106.4901111,29.6575097,,,
,39498,6898382159,,,,,,,106.4967548,29.6578579,,,
,39499,10118172443,,,,,,,106.4986685,29.6579605,,,
,39500,10118172450,,,,,,,106.4991651,29.6579871,,,
,39501,6898382722,,,,,,,106.508836,29.6585055,,,
,39502,6898453879,,,,,,,106.5089517,29.6585132,,,
,39503,6898383160,,,,,,,106.3801727,29.7044835,,,
,39504,4362242364,,,,,,,106.3806692,29.7056432,,,
,39505,4659859964,,,,,,,106.3778447,29.7589957,,,
,39506,6898382110,,,,,,,106.3780976,29.704585,,,
,39507,8791450570,,,,,,,106.4699489,29.6496276,,,
,39508,8791450605,,,,,,,106.4687539,29.6468171,,,
,39509,3115527937,,,,,,,106.4688521,29.6331651,,,
,39510,6898382827,,,,,,,106.4688147,29.6330709,,,
,39511,6898454005,,,,,,,106.4607825,29.6264661,,,
,39512,6898382283,,,,,,,106.4958679,29.6749745,,,
,39513,6898383053,,,,,,,106.4938576,29.6740257,,,
,39514,7913008291,,,,,,,106.4925423,29.6735375,,,
,39515,6898382620,,,,,,,106.4799909,29.6763932,,,
,39516,6898381953,,,,,,,106.4783089,29.6778976,,,
,39517,6898382393,,,,,,,106.4723051,29.6858589,,,
,39518,6898382055,,,,,,,106.4758219,29.6876579,,,
,39519,8777322972,,,,,,,106.3459937,29.7481818,,,
,39520,6898383016,,,,,,,106.5067682,29.62595,,,
,39521,9012651000,,,,,,,106.383546,29.7466152,,,
,39522,8599262186,,,,,,,106.3841848,29.7562198,,,
,39523,6898381937,,,,,,,106.479263,29.678768,,,
,39524,6898383089,,,,,,,106.480982,29.6772907,,,
,39525,9329031872,,,,,,,106.488416,29.679734,,,
,39526,6898382801,,,,,,,106.4860231,29.6801846,,,
,39527,10048917527,,,,,,,106.4811138,29.6799819,,,
,39528,6898382575,,,,,,,106.4791793,29.6799065,,,
,39529,6898382366,,,,,,,106.4767017,29.679799,,,
,39530,9329031840,,,,,,,106.4747152,29.6793642,,,
,39531,9329031845,,,,,,,106.4741947,29.6790809,,,
,39532,6294489515,,,,,,,106.4738689,29.6788284,,,
,39533,9329454732,,,,,,,106.5082714,29.6729109,,,
,39534,6898382568,,,,,,,106.5069163,29.6767262,,,
,39535,7309215290,,,,,,,106.5056809,29.6775776,,,
,39536,6898382956,,,,,,,106.5046323,29.6786414,,,
,39537,6898383022,,,,,,,106.5037117,29.6803478,,,
,39538,6898382622,,,,,,,106.5023618,29.6820529,,,
,39539,9329399466,,,,,,,106.5015972,29.6830327,,,
,39540,9329399467,,,,,,,106.5015246,29.683115,,,
,39541,9326549812,,,,,,,106.4883124,29.6906352,,,
,39542,9326549789,,,,,,,106.4871037,29.6923461,,,
,39543,6898382731,,,,,,,106.4024615,29.7463154,,,
,39544,6898382631,,,,,,,106.4447232,29.7406972,,,
,39545,6898383204,,,,,,,106.5050363,29.6257329,,,
,39546,1512539914,,,,,,,106.5074159,29.6259513,,,
,39547,9012650991,,,,,,,106.3698732,29.7455282,,,
,39548,6898382310,,,,,,,106.3658856,29.7452602,,,
,39549,6898382105,,,,,,,106.3772034,29.7554737,,,
,39550,6898383072,,,,,,,106.3773965,29.7543933,,,
,39551,6898382364,,,,,,,106.4996262,29.6731439,,,
,39552,6898381931,,,,,,,106.4993715,29.6735055,,,
,39553,6898383155,,,,,,,106.5051247,29.626028,,,
,39554,6898382689,,,,,,,106.5041697,29.62489,,,
,39555,8754252415,,,,,,,106.3785087,29.7458129,,,
,39556,6898382674,,,,,,,106.5028031,29.625255,,,
,39557,6898381808,,,,,,,106.3659125,29.7451494,,,
,39558,9012650992,,,,,,,106.3698961,29.7454129,,,
,39559,6898382976,,,,,,,106.3861503,29.7467758,,,
,39560,8671635397,,,,,,,106.3850716,29.7458777,,,
,39561,920041975,,,,,,,106.5071631,29.6261101,,,
,39562,6898383080,,,,,,,106.4992686,29.6724361,,,
